pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
Kepler-58 c,Kepler-58,1,4,0,15.5741568,2.86,53.0,10.0,0.0,64.389,799.0,5843.0,2012,969.252
Kepler-51 c,Kepler-51,1,4,0,85.312,9.0,4.0,0.03,0.014,4.331,439.0,6018.0,2012,783.831
FU Tau b,FU Tau,1,1,0,,12.2,5085.28,15.4,,,2375.0,2838.0,2008,133.4950466
Kepler-59 b,Kepler-59,1,2,0,11.8681707,1.1,4.1,8.7,0.0,187.51,864.0,6074.0,2012,1163.22
Kepler-53 b,Kepler-53,1,3,0,18.6489525,2.89,111.0,1.18,0.0,60.997,701.0,5858.0,2012,1366.07
Kepler-69 b,Kepler-69,1,2,0,13.722341,2.24,5.65,2.76,0.16,123.517,779.0,5638.0,2013,730.625
Kepler-37 e,Kepler-37,1,4,0,51.196,0.37,8.1,879.0,0.0,,401.0,5288.0,2014,63.9207
Kepler-65 d,Kepler-65,1,4,0,8.13123,1.52,4.14,5.7,0.014,394.549,1117.0,6211.0,2012,303.728
Kepler-52 c,Kepler-52,1,3,0,16.3850021,1.84,45.4,20.0,0.012,8.55,433.0,4075.0,2012,321.542
Kepler-55 b,Kepler-55,1,5,0,27.9481449,2.43,43.0,16.5,0.0,6.642,400.0,4362.0,2012,578.796
WASP-14 b,WASP-14,3,1,0,2.24375,15.46842,2809.6172,2.25,0.09,1356.33,1872.0,6475.0,2008,161.997
HAT-P-2 b,HAT-P-2,1,2,0,5.6335158,10.659759,2866.81223114,7.29,0.5172,588.518,1540.0,6380.0,2007,127.774
HAT-P-42 b,HAT-P-42,1,1,0,4.641878,14.348,331.801,0.61,0.0,684.0973,1428.0,5743.0,2012,405.238
WASP-59 b,WASP-59,1,1,0,7.919585,8.687,274.276,2.4,0.1,38.0328,670.0,4650.0,2012,115.936
HAT-P-39 b,HAT-P-39,2,1,0,3.54387,17.609,190.372,0.19,0.0,1915.6934,1752.0,6430.0,2012,697.004
GJ 536 b,GJ 536,1,2,0,8.70874,2.41,6.37,2.5,0.0,9.9,451.0,3641.0,2016,10.4092
WTS-2 b,WTS-2,1,1,0,1.0187068,15.277867,355.9696,0.54,0.0,2544.6509,2000.0,5000.0,2014,1030.76834437
Kepler-30 d,Kepler-30,1,3,0,143.34394,8.8,23.1,0.19,0.022,1.962,308.0,5498.0,2012,914.221
ROXs 42 B b,ROXs 42 B,2,1,0,,12.5,2860.0,8.05,0.58,,1975.0,3433.0,2013,143.59
Kepler-50 c,Kepler-50,1,2,0,9.37647,2.17,8.2,9.249213,0.0,388.444,1125.0,6225.0,2012,250.11
WD 0806-661 b,WD 0806-661,1,1,0,,12.6,2542.627256,6.98,,,340.0,9552.0,2011,19.2444
Kepler-63 b,Kepler-63,1,1,0,9.4341505,6.11,120.0,3.0,0.45,100.371,791.0,5576.0,2013,194.033
Kepler-77 b,Kepler-77,1,1,0,3.57878087,10.761,136.661,0.603,0.0,432.871,1440.0,5520.0,2013,639.411
HATS-5 b,HATS-5,1,1,0,4.763387,10.223,75.323,0.39,0.019,183.2395,1025.0,5304.0,2014,246.384
WTS-1 b,WTS-1,1,1,0,3.352057,16.7,1274.44,1.61,0.1,,1500.0,6250.0,2012,2346.01
CoRoT-26 b,CoRoT-26,1,1,0,4.20474,14.12,165.26,0.28,0.0,,1600.0,5590.0,2013,1045.18
CoRoT-25 b,CoRoT-25,1,1,0,4.86069,12.11,85.81,0.15,0.0,,1330.0,6040.0,2013,1103.48
Kepler-186 b,Kepler-186,1,5,0,3.8867907,1.07,1.24,5.56,0.0,37.372,571.0,3788.0,2014,177.594
Kepler-186 d,Kepler-186,1,5,0,13.342996,1.4,2.54,5.09,0.0,7.204,379.0,3788.0,2014,177.594
Kepler-11 d,Kepler-11,1,6,0,22.6845,3.12,7.3,1.28,0.004,51.115,653.0,5663.0,2010,646.346
